,close,high,low,open,volume,roll_mean,roll_upper,roll_lower,is_outlier
2024-03-05 01:00:00+00:00,4.945000171661377,4.945000171661377,4.945000171661377,4.945000171661377,0.0,,,,False
2024-03-05 02:00:00+00:00,4.945000171661377,,,,,,,,False
2024-03-05 03:00:00+00:00,4.945000171661377,,,,,,,,False
2024-03-05 04:00:00+00:00,4.945000171661377,4.945000171661377,4.945000171661377,4.945000171661377,0.0,,,,False
2024-03-05 05:00:00+00:00,4.945000171661377,,,,,4.945,4.945,4.945,False
2024-03-05 06:00:00+00:00,4.945000171661377,,,,,4.945,4.945,4.945,False
2024-03-05 07:00:00+00:00,4.945000171661377,,,,,4.945,4.945,4.945,False
2024-03-05 08:00:00+00:00,4.945000171661377,,,,,4.945,4.945,4.945,False
2024-03-05 09:00:00+00:00,4.945000171661377,,,,,4.945,4.945,4.945,False
2024-03-05 10:00:00+00:00,4.945000171661377,,,,,4.945,4.945,4.945,False
2024-03-05 11:00:00+00:00,4.947500228881836,4.947999954223633,4.945799827575684,4.945799827575684,0.0,4.9452,4.9475,4.943,True
2024-03-05 12:00:00+00:00,4.952199935913086,4.959099769592285,4.9475998878479,4.9475998878479,0.0,4.9458,4.9522,4.9394,False
2024-03-05 13:00:00+00:00,4.951099872589111,4.952700138092041,4.946499824523926,4.952099800109863,0.0,4.9462,4.9538,4.9387,False
2024-03-05 14:00:00+00:00,4.956999778747559,4.959400177001953,4.94950008392334,4.951700210571289,0.0,4.947,4.9583,4.9357,False
2024-03-05 15:00:00+00:00,4.942699909210205,4.956900119781494,4.939599990844727,4.956900119781494,0.0,4.9467,4.9581,4.9353,False
2024-03-05 16:00:00+00:00,4.956799983978272,4.960700035095215,4.94320011138916,4.94320011138916,0.0,4.9473,4.9607,4.934,False
2024-03-05 17:00:00+00:00,4.953800201416016,4.960999965667725,4.9517998695373535,4.956299781799316,0.0,4.9477,4.9615,4.934,False
2024-03-05 18:00:00+00:00,4.95550012588501,4.955999851226807,4.951200008392334,4.954100131988525,0.0,4.9481,4.9626,4.9337,False
2024-03-05 19:00:00+00:00,4.954699993133545,4.957399845123291,4.952300071716309,4.9552998542785645,0.0,4.9485,4.9632,4.9338,False
2024-03-05 20:00:00+00:00,4.957499980926514,4.959000110626221,4.953800201416016,4.9542999267578125,0.0,4.9489,4.9645,4.9334,False
2024-03-05 21:00:00+00:00,4.958099842071533,4.958099842071533,4.955100059509277,4.958000183105469,0.0,4.9494,4.9657,4.9331,False
2024-03-05 22:00:00+00:00,4.958099842071533,4.958099842071533,4.957799911499023,4.957799911499023,0.0,4.9498,4.9666,4.9329,False
2024-03-05 23:00:00+00:00,4.958099842071533,,,,,4.9501,4.9674,4.9329,False
2024-03-06 00:00:00+00:00,4.958099842071533,4.958099842071533,4.958099842071533,4.958099842071533,0.0,4.9505,4.9681,4.9329,False
2024-03-06 01:00:00+00:00,4.958099842071533,,,,,4.9508,4.9686,4.933,False
2024-03-06 02:00:00+00:00,4.958099842071533,4.958099842071533,4.958099842071533,4.958099842071533,0.0,4.9511,4.969,4.9331,False
2024-03-06 03:00:00+00:00,4.958099842071533,4.958099842071533,4.958099842071533,4.958099842071533,0.0,4.9513,4.9694,4.9332,False
2024-03-06 04:00:00+00:00,4.958099842071533,4.958099842071533,4.958099842071533,4.958099842071533,0.0,4.9516,4.9697,4.9334,False
2024-03-06 05:00:00+00:00,4.958099842071533,,,,,4.9518,4.97,4.9336,False
2024-03-06 06:00:00+00:00,4.958099842071533,,,,,4.952,4.9702,4.9338,False
2024-03-06 07:00:00+00:00,4.958099842071533,,,,,4.9522,4.9704,4.934,False
2024-03-06 08:00:00+00:00,4.958099842071533,,,,,4.9524,4.9706,4.9342,False
2024-03-06 09:00:00+00:00,4.958099842071533,,,,,4.9525,4.9707,4.9344,False
2024-03-06 10:00:00+00:00,4.958099842071533,,,,,4.9527,4.9708,4.9346,False
2024-03-06 11:00:00+00:00,4.958099842071533,4.959799766540527,4.954400062561035,4.954899787902832,0.0,4.9529,4.9709,4.9348,False
2024-03-06 12:00:00+00:00,4.943999767303467,4.946000099182129,4.935500144958496,4.943299770355225,0.0,4.9526,4.971,4.9343,False
2024-03-06 13:00:00+00:00,4.9344000816345215,4.944699764251709,4.934299945831299,4.94350004196167,0.0,4.9521,4.9723,4.9319,False
2024-03-06 14:00:00+00:00,4.939099788665772,4.941500186920166,4.932600021362305,4.934700012207031,0.0,4.9518,4.9727,4.9309,False
2024-03-06 15:00:00+00:00,4.938199996948242,4.945700168609619,4.936100006103516,4.939199924468994,0.0,4.9514,4.9731,4.9298,False
2024-03-06 16:00:00+00:00,4.934599876403809,4.940999984741211,4.933000087738037,4.938000202178955,0.0,4.951,4.9738,4.9282,False
2024-03-06 17:00:00+00:00,4.940599918365479,4.941199779510498,4.933700084686279,4.935100078582764,0.0,4.9508,4.9738,4.9277,False
2024-03-06 18:00:00+00:00,4.940599918365479,,,,,4.9505,4.9737,4.9273,False
2024-03-06 19:00:00+00:00,4.9440999031066895,4.946199893951416,4.942500114440918,4.943699836730957,0.0,4.9504,4.9735,4.9272,False
2024-03-06 20:00:00+00:00,4.9446001052856445,4.94920015335083,4.94350004196167,4.943999767303467,0.0,4.9502,4.9733,4.9272,False
2024-03-06 21:00:00+00:00,4.9446001052856445,4.947299957275391,4.94320011138916,4.944699764251709,0.0,4.9501,4.973,4.9272,False
2024-03-06 22:00:00+00:00,4.9446001052856445,4.946800231933594,4.9446001052856445,4.945000171661377,0.0,4.95,4.9728,4.9272,False
2024-03-06 23:00:00+00:00,4.9446001052856445,,,,,4.9499,4.9725,4.9272,False
2024-03-07 00:00:00+00:00,4.9446001052856445,4.9446001052856445,4.9446001052856445,4.9446001052856445,0.0,4.9498,4.9723,4.9273,False
2024-03-07 01:00:00+00:00,4.9446001052856445,,,,,4.9497,4.9721,4.9273,False
2024-03-07 02:00:00+00:00,4.9446001052856445,4.9446001052856445,4.9446001052856445,4.9446001052856445,0.0,4.9496,4.9718,4.9273,False
2024-03-07 03:00:00+00:00,4.9446001052856445,,,,,4.9495,4.9716,4.9273,False
2024-03-07 04:00:00+00:00,4.9446001052856445,4.9446001052856445,4.9446001052856445,4.9446001052856445,0.0,4.9494,4.9714,4.9274,False
2024-03-07 05:00:00+00:00,4.9446001052856445,4.9446001052856445,4.9446001052856445,4.9446001052856445,0.0,4.9493,4.9712,4.9274,False
2024-03-07 06:00:00+00:00,4.9446001052856445,,,,,4.9492,4.971,4.9274,False
2024-03-07 07:00:00+00:00,4.9446001052856445,,,,,4.9491,4.9708,4.9275,False
2024-03-07 08:00:00+00:00,4.9446001052856445,,,,,4.949,4.9706,4.9275,False
2024-03-07 09:00:00+00:00,4.9446001052856445,,,,,4.949,4.9704,4.9276,False
2024-03-07 10:00:00+00:00,4.9446001052856445,,,,,4.9489,4.9702,4.9276,False
2024-03-07 11:00:00+00:00,4.9446001052856445,,,,,4.9488,4.97,4.9276,False
2024-03-07 12:00:00+00:00,4.9446001052856445,,,,,4.9487,4.9698,4.9277,False
2024-03-07 13:00:00+00:00,4.9446001052856445,,,,,4.9487,4.9696,4.9277,False
