datetime_utc,hourly_return,log_return,rolling_mean_24h,rolling_std_24h,price_momentum_8h,spike_signal,spike_intensity,inter_spike_interval_h,hour_of_day,target
2024-03-05 01:00:00+00:00,,,,,,0,0.0,,1,1
2024-03-05 02:00:00+00:00,0.00014477920480948647,0.0001447687253118772,,,,0,0.0,,2,0
2024-03-05 03:00:00+00:00,-8.438862831461336e-05,-8.439218923524332e-05,,,,0,0.0,,3,1
2024-03-05 04:00:00+00:00,9.645228612154e-05,9.644763489886927e-05,,,,0,0.0,,4,1
2024-03-05 05:00:00+00:00,3.018444536628806e-05,3.018398982508384e-05,,,,0,0.0,,5,1
2024-03-05 06:00:00+00:00,6.027504561578745e-05,6.0273229148216864e-05,,,,0,0.0,,6,0
2024-03-05 07:00:00+00:00,0.0,0.0,,,,0,0.0,,7,0
2024-03-05 08:00:00+00:00,-0.000307522231179691,-0.0003075695258373802,,,,0,0.0,,8,0
2024-03-05 09:00:00+00:00,-0.0002050778867956904,-0.0002050989181409417,,,-0.00026535184200021357,0,0.0,,9,0
2024-03-05 10:00:00+00:00,-0.00010863624047885434,-0.00010864214182263077,,,-0.0005186633687920162,0,0.0,,10,0
2024-03-05 11:00:00+00:00,-0.000493261572798942,-0.0004933832663080085,,,-0.0009273587350988374,0,0.0,,11,0
2024-03-05 12:00:00+00:00,-0.0009249136277951209,-0.0009253416243314651,16.759557152443033,0.010024722423390633,-0.001947679064185225,0,0.0,,12,0
2024-03-05 13:00:00+00:00,-0.00012785505197598912,-0.00012786322612989235,16.757331660962134,0.012510277042130293,-0.002105405990407317,0,0.0,,13,0
2024-03-05 14:00:00+00:00,-0.0010575619607234854,-0.0010581215739591085,16.754160263022346,0.016890137291618475,-0.0032208222642504053,0,0.0,,14,1
2024-03-05 15:00:00+00:00,0.0028326349172609344,0.0028286305670994316,16.754567827141685,0.01635210859682931,-0.00039731076059752274,1,0.0028326349172609344,,15,0
2024-03-05 16:00:00+00:00,-0.002856714441300756,-0.0028608026377298403,16.751931988496743,0.018992832445940973,-0.002946274012088893,1,0.002856714441300756,1.0,16,1
2024-03-05 17:00:00+00:00,0.0006055517865655169,0.0006053685140660045,16.750201555591918,0.01972528759479669,-0.0021378668894432218,0,0.0,1.0,17,0
2024-03-05 18:00:00+00:00,-0.00034303792267398325,-0.0003430967736413067,16.748344700972055,0.020694488765374965,-0.002371792864881706,0,0.0,2.0,18,1
2024-03-05 19:00:00+00:00,0.00016148964671414134,0.00016147660866479784,16.746825388238566,0.0211737443989805,-0.0017182722230198277,0,0.0,3.0,19,0
2024-03-05 20:00:00+00:00,-0.0005647983466953166,-0.0005649579053633413,16.744985850108627,0.022190296997242218,-0.0013584429069665583,0,0.0,4.0,20,1
2024-03-05 21:00:00+00:00,0.00025325472294923657,0.00025322265938527365,16.743523024904853,0.02264344995572147,-0.0009778021810721584,0,0.0,5.0,21,0
2024-03-05 22:00:00+00:00,-0.0004947492503268869,-0.0004948716791199374,16.741817303318197,0.023501468151253584,-0.0004149445333338373,0,0.0,6.0,22,1
2024-03-05 23:00:00+00:00,0.00042250430932289085,0.00042241507950962836,16.740566790382008,0.02373142633337645,-0.002817270159300671,0,0.0,7.0,23,1
2024-03-06 00:00:00+00:00,2.4122384827407473e-05,2.412209388736136e-05,16.73943728513869,0.023860286109501156,6.368062491325783e-05,0,0.0,8.0,0,1
2024-03-06 01:00:00+00:00,6.039657532985743e-05,6.0394751530135444e-05,16.737423882223577,0.023842814496862593,-0.0004811793612089425,0,0.0,9.0,1,0
2024-03-06 02:00:00+00:00,-4.833275472115872e-05,-4.8333922786385546e-05,16.735275697655958,0.023550642935549253,-0.0001865149182222051,0,0.0,10.0,2,1
2024-03-06 03:00:00+00:00,0.0002655207659520986,0.00026548552155213144,16.73337137215118,0.022984727406234955,-8.251999644303895e-05,0,0.0,11.0,3,0
2024-03-06 04:00:00+00:00,-3.0189907403554983e-05,-3.0190363127981708e-05,16.73137864561107,0.02214326193911934,0.0004523464186291368,0,0.0,12.0,4,0
2024-03-06 05:00:00+00:00,-0.00019900167798359014,-0.00019902148144483522,16.72922621557113,0.021126582633191383,0.0,0,0.0,13.0,5,1
2024-03-06 06:00:00+00:00,0.0001327555673558134,0.00013274675611530027,16.72712413324162,0.01967114600196184,0.0006278154288956441,0,0.0,14.0,6,0
2024-03-06 07:00:00+00:00,-0.00012067922798431052,-0.00012068651030823335,16.724937995388913,0.01788912519716362,8.452041706670245e-05,0,0.0,15.0,7,1
2024-03-06 08:00:00+00:00,9.648138466245015e-05,9.647673063300603e-05,16.72303389255342,0.016144241513313628,0.00015688378713765965,0,0.0,16.0,8,0
2024-03-06 09:00:00+00:00,-0.00069371524001971,-0.0006939559717761251,16.720789842647033,0.014701696293514763,-0.0005973007859640823,0,0.0,17.0,9,0
2024-03-06 10:00:00+00:00,-0.00023545210442699194,-0.00023547982762547382,16.718457770124203,0.013143947597258171,-0.0007843174081637578,0,0.0,18.0,10,0
2024-03-06 11:00:00+00:00,-2.4140445796683174e-05,-2.4140737181934263e-05,16.716453288819302,0.01202251592437091,-0.001073674603237555,0,0.0,19.0,11,1
2024-03-06 12:00:00+00:00,0.002585463541347144,0.002582126980285925,16.716893320620226,0.012812789331479196,0.001539249368767052,1,0.002585463541347144,20.0,12,1
2024-03-06 13:00:00+00:00,0.001691327767523454,0.0016898990834034273,16.718602428277915,0.016830153907687155,0.0034328653354348286,0,0.0,1.0,13,0
2024-03-06 14:00:00+00:00,-0.0008670740342212602,-0.0008674501603468524,16.720442844938184,0.018513947546881057,0.0024297366243981747,0,0.0,2.0,14,1
2024-03-06 15:00:00+00:00,0.0001942884303036685,0.00019426955875090357,16.720446348100705,0.018521818209518322,0.0027455076781480762,0,0.0,3.0,15,1
2024-03-06 16:00:00+00:00,0.0006812291448363705,0.0006809972135887228,16.722920557938288,0.021175508367208714,0.0033318043010773426,0,0.0,4.0,16,0
2024-03-06 17:00:00+00:00,-0.0012144359107822966,-0.0012151739356561122,16.72412441499754,0.02195825183778048,0.002808986003923759,0,0.0,5.0,17,0
2024-03-06 18:00:00+00:00,0.0,0.0,16.725567291085138,0.022583380336658673,0.003045155096526537,0,0.0,6.0,18,0
2024-03-06 19:00:00+00:00,-0.0007079114115414731,-0.0007081620991414922,16.726403579717882,0.02271928932601308,0.002359285384939946,0,0.0,7.0,19,0
2024-03-06 20:00:00+00:00,-0.00010116130087456376,-0.00010116641802406899,16.727562774137073,0.02255695203826622,-0.00032673336844851026,0,0.0,8.0,20,0
2024-03-06 21:00:00+00:00,0.0,0.0,16.728545639590035,0.02246613967991785,-0.002014653696233678,0,0.0,9.0,21,1
2024-03-06 22:00:00+00:00,0.0003986990519075917,0.00039861959256013845,16.730151119120773,0.022159394816233826,-0.0007503344461386839,0,0.0,10.0,22,0
2024-03-06 23:00:00+00:00,-1.2071389645540442e-05,-1.2071462505350777e-05,16.731454078421624,0.02202945586163352,-0.0009564993717470414,0,0.0,11.0,23,1
2024-03-07 00:00:00+00:00,0.000301972682392071,0.0003019270978182486,16.73295091982415,0.02197395957987723,-0.001335135137904239,0,0.0,12.0,0,0
2024-03-07 01:00:00+00:00,-0.00021731416276649096,-0.00021733777891063744,16.73425403981927,0.021756488242415942,-0.0003381338880501202,0,0.0,13.0,1,0
2024-03-07 02:00:00+00:00,-1.207051428597783e-05,-1.2070587135221612e-05,16.73558239842093,0.021415017830510776,-0.0003502003208862081,0,0.0,14.0,2,0
2024-03-07 03:00:00+00:00,-0.0008756296323459978,-0.0008760132199092906,16.73611489387059,0.021118190636605264,-0.0005179785788594824,0,0.0,15.0,3,1
2024-03-07 04:00:00+00:00,0.00040495205362134357,0.0004048700826672683,16.736950719371116,0.020746970045927574,-1.2076202497182004e-05,0,0.0,16.0,4,1
2024-03-07 05:00:00+00:00,0.00016916106253450636,0.00016914675641530359,16.738043136051715,0.020183203876666625,0.00015708281721405233,0,0.0,17.0,5,0
2024-03-07 06:00:00+00:00,-9.060337887012437e-05,-9.060748360419276e-05,16.73897990038246,0.019653940043260626,-0.00033210143726940293,0,0.0,18.0,6,1
2024-03-07 07:00:00+00:00,0.0002114577662426509,0.00021143541220043375,16.740148202933707,0.01895444831971423,-0.00010864381829119046,0,0.0,19.0,7,0
2024-03-07 08:00:00+00:00,-6.045639416674131e-05,-6.045822172819802e-05,16.74120713770784,0.01824816208155508,-0.0004709241204166339,0,0.0,20.0,8,0
2024-03-07 09:00:00+00:00,-3.023002468172109e-05,-3.0230481618126043e-05,16.742728160154773,0.0164909308997633,-0.00028388743904514505,0,0.0,21.0,9,1
2024-03-07 10:00:00+00:00,3.0230938563802212e-05,3.023048161818823e-05,16.744434149345434,0.01384331968869941,-0.00024159748458505248,0,0.0,22.0,10,0
2024-03-07 11:00:00+00:00,0.0,0.0,16.746156936817616,0.010180606272552425,0.0006345878116531813,0,0.0,23.0,11,0
2024-03-07 12:00:00+00:00,0.0,0.0,16.746080656602786,0.010209558052252312,0.00022954280420189288,0,0.0,24.0,12,0
2024-03-07 13:00:00+00:00,0.0,0.0,16.744824440887665,0.008665416753486054,6.0371529155394004e-05,0,0.0,25.0,13,1
2024-03-07 14:00:00+00:00,0.0004393780760361121,0.00043928157775437974,16.744480646141803,0.008313669369523092,0.0005904330052132564,0,0.0,26.0,14,1
2024-03-07 15:00:00+00:00,4.221737647180923e-05,4.22164853434518e-05,16.74403065895791,0.00768547507621613,0.00042112849108483095,0,0.0,27.0,15,1
2024-03-07 16:00:00+00:00,0.0006516063986115039,0.0006513941953391511,16.743559691566755,0.006092613869605268,0.0011335342232744292,0,0.0,28.0,16,0
2024-03-07 17:00:00+00:00,-0.001113846530026219,-0.0011144673180903456,16.743159543032082,0.005865952710900185,4.865660565906371e-05,0,0.0,29.0,17,1
2024-03-07 18:00:00+00:00,0.0007093317814363953,0.0007090803245521976,16.743254206722238,0.006021118581106495,0.000727769961039616,0,0.0,30.0,18,0
2024-03-07 19:00:00+00:00,0.0,0.0,16.743842975092196,0.0063261620768820396,0.000727769961039616,0,0.0,31.0,19,0
2024-03-07 20:00:00+00:00,-6.087899410889275e-05,-6.0880847310069e-05,16.74445980377,0.006437691881508538,0.0006668466610275078,0,0.0,32.0,20,0
2024-03-07 21:00:00+00:00,-4.048772342646334e-05,-4.048854307646139e-05,16.745048370904822,0.006453319496215878,0.0006263319384978782,0,0.0,33.0,21,1
2024-03-07 22:00:00+00:00,0.0002661695706898115,0.00026613415385408085,16.74554466722837,0.006857002422199813,0.00045309106537407874,0,0.0,34.0,22,0
2024-03-07 23:00:00+00:00,0.0,0.0,16.746049385623994,0.007200636233367518,0.00041085634362541466,0,0.0,35.0,23,0
2024-03-08 00:00:00+00:00,-0.0004837571813905983,-0.0004838742296460167,16.746005671633355,0.007182681535978137,-0.0007242340755257662,0,0.0,36.0,0,1
2024-03-08 01:00:00+00:00,0.000822776005440673,0.0008224377108108607,16.74668779119399,0.007898344685180837,0.0012131438335708127,0,0.0,37.0,1,1
2024-03-08 02:00:00+00:00,1.20829179637294e-05,1.208284496586416e-05,16.747386771795313,0.008510965339044286,0.0005155439367165249,0,0.0,38.0,2,0
2024-03-08 03:00:00+00:00,-0.0003385020849238085,-0.00033855938968677677,16.748460286260542,0.00794411406046536,0.00017686733909531694,0,0.0,39.0,3,1
2024-03-08 04:00:00+00:00,4.834745358839321e-05,4.834628488792794e-05,16.74928525645902,0.007799768679430515,0.0002861197565611321,0,0.0,40.0,4,0
