,close,high,low,open,volume,roll_mean,roll_upper,roll_lower,is_outlier
2021-03-04,72.88069915771484,73.10800170898438,72.61219787597656,72.88069915771484,0.0,,,,False
2021-03-05,73.13179779052734,73.31120300292969,72.73500061035156,73.13179779052734,0.0,,,,False
2021-03-06,73.13179779052734,,,,,,,,False
2021-03-07,73.13179779052734,,,,,,,,False
2021-03-08,73.1333999633789,73.41529846191406,72.94000244140625,73.1333999633789,0.0,73.0819,73.4193,72.7445,False
2021-03-09,73.33000183105469,73.38629913330078,72.8855972290039,73.33039855957031,0.0,73.1232,73.5515,72.695,False
2021-03-10,72.7759017944336,73.0780029296875,72.76490020751953,72.77580261230469,0.0,73.0736,73.6286,72.5187,False
2021-03-11,72.70600128173828,72.7979965209961,72.5647964477539,72.70610046386719,0.0,73.0277,73.6727,72.3827,False
2021-03-12,72.63899993896484,72.87329864501953,72.56500244140625,72.63899993896484,0.0,72.9845,73.7022,72.2668,False
2021-03-13,72.63899993896484,,,,,72.9499,73.7018,72.1981,False
2021-03-14,72.63899993896484,,,,,72.9217,73.6884,72.155,False
2021-03-15,72.68299865722656,72.78199768066406,72.39230346679688,72.68299865722656,0.0,72.9018,73.6615,72.1421,False
2021-03-16,72.51529693603516,72.94599914550781,72.3655014038086,72.51529693603516,0.0,72.8721,73.6673,72.0768,False
2021-03-17,72.5156021118164,73.00800323486328,72.49629974365234,72.51570129394531,0.0,72.8466,73.6624,72.0308,False
2021-03-18,72.29560089111328,72.74400329589844,72.29560089111328,72.5698013305664,0.0,72.8099,73.7043,71.9154,False
2021-03-19,72.6688003540039,72.73780059814453,72.44650268554688,72.668701171875,0.0,72.801,73.6717,71.9304,False
2021-03-20,72.6688003540039,,,,,72.7933,73.6417,71.9448,False
2021-03-21,72.6688003540039,,,,,72.7863,73.6141,71.9586,False
2021-03-22,72.40499877929688,72.94999694824219,72.3010025024414,72.40499877929688,0.0,72.7663,73.6125,71.9201,False
2021-03-23,72.38050079345703,72.53910064697266,72.26599884033203,72.38050079345703,0.0,72.747,73.6103,71.8837,False
2021-03-24,72.61219787597656,73.08049774169922,72.50090026855469,72.61229705810547,0.0,72.7406,73.5867,71.8945,False
2021-03-25,72.64559936523438,73.13700103759766,72.55000305175781,72.64559936523438,0.0,72.7363,73.5642,71.9083,False
2021-03-26,72.61280059814453,72.66000366210938,72.37030029296875,72.61280059814453,0.0,72.7309,73.5435,71.9183,False
2021-03-27,72.61280059814453,,,,,72.726,73.524,71.928,False
2021-03-28,72.61280059814453,,,,,72.7214,73.5056,71.9373,False
