Price,Close,High,Low,Open,Volume
Ticker,INR=X,INR=X,INR=X,INR=X,INR=X
Datetime,,,,,
2024-03-05 01:00:00+00:00,82.89199829101562,82.89299774169922,82.89199829101562,82.89199829101562,0
2024-03-05 02:00:00+00:00,82.90399932861328,82.90499877929688,82.88999938964844,82.89099884033203,0
2024-03-05 03:00:00+00:00,82.89700317382812,82.92500305175781,82.86199951171875,82.88999938964844,0
2024-03-05 04:00:00+00:00,82.90499877929688,82.92250061035156,82.86199951171875,82.9124984741211,0
2024-03-05 05:00:00+00:00,82.90750122070312,82.9175033569336,82.87999725341797,82.88500213623047,0
2024-03-05 06:00:00+00:00,82.9124984741211,82.92749786376953,82.86199951171875,82.88200378417969,0
2024-03-05 07:00:00+00:00,82.9124984741211,82.91999816894531,82.86100006103516,82.91000366210938,0
2024-03-05 08:00:00+00:00,82.88700103759766,82.91999816894531,82.85199737548828,82.86000061035156,0
2024-03-05 09:00:00+00:00,82.87000274658203,82.9124984741211,82.83100128173828,82.88999938964844,0
2024-03-05 10:00:00+00:00,82.86100006103516,82.8949966430664,82.8499984741211,82.85600280761719,0
2024-03-05 11:00:00+00:00,82.86199951171875,82.86499786376953,82.85800170898438,82.86399841308594,0
2024-03-05 12:00:00+00:00,82.86399841308594,82.87000274658203,82.85800170898438,82.86399841308594,0
2024-03-05 13:00:00+00:00,82.83499908447266,82.86699676513672,82.83499908447266,82.86199951171875,0
2024-03-05 14:00:00+00:00,82.84600067138672,82.85600280761719,82.8280029296875,82.83100128173828,0
2024-03-05 15:00:00+00:00,82.84100341796875,82.84600067138672,82.81600189208984,82.84600067138672,0
2024-03-05 16:00:00+00:00,82.83999633789062,82.84600067138672,82.83599853515625,82.83999633789062,0
2024-03-05 17:00:00+00:00,82.83999633789062,82.83999633789062,82.83999633789062,82.83999633789062,0
2024-03-05 18:00:00+00:00,82.83999633789062,82.83999633789062,82.83999633789062,82.83999633789062,0
2024-03-05 19:00:00+00:00,82.83999633789062,82.83999633789062,82.83999633789062,82.83999633789062,0
2024-03-05 21:00:00+00:00,82.87100219726562,82.87200164794922,82.83799743652344,82.83999633789062,0
2024-03-05 22:00:00+00:00,82.83000183105469,82.88600158691406,82.83000183105469,82.88600158691406,0
2024-03-05 23:00:00+00:00,82.86499786376953,82.86799621582031,82.83000183105469,82.83100128173828,0
2024-03-06 00:00:00+00:00,82.86699676513672,82.87100219726562,82.83000183105469,82.86499786376953,0
2024-03-06 01:00:00+00:00,82.87200164794922,82.8740005493164,82.85900115966797,82.86599731445312,0
2024-03-06 02:00:00+00:00,82.86799621582031,82.875,82.86799621582031,82.87300109863281,0
2024-03-06 03:00:00+00:00,82.88999938964844,82.90249633789062,82.8550033569336,82.86699676513672,0
2024-03-06 04:00:00+00:00,82.88749694824219,82.89749908447266,82.83000183105469,82.89250183105469,0
2024-03-06 05:00:00+00:00,82.87100219726562,82.89749908447266,82.86000061035156,82.87300109863281,0
2024-03-06 06:00:00+00:00,82.88200378417969,82.90750122070312,82.8499984741211,82.87000274658203,0
2024-03-06 07:00:00+00:00,82.87200164794922,82.90499877929688,82.84700012207031,82.8949966430664,0
2024-03-06 08:00:00+00:00,82.87999725341797,82.9000015258789,82.84500122070312,82.8949966430664,0
2024-03-06 09:00:00+00:00,82.82250213623047,82.89250183105469,82.79299926757812,82.84700012207031,0
2024-03-06 10:00:00+00:00,82.8030014038086,82.83000183105469,82.78199768066406,82.82499694824219,0
2024-03-06 11:00:00+00:00,82.8010025024414,82.80599975585938,82.79299926757812,82.802001953125,0
2024-03-06 12:00:00+00:00,82.77899932861328,82.80999755859375,82.77899932861328,82.8030014038086,0
2024-03-06 13:00:00+00:00,82.75800323486328,82.77999877929688,82.75399780273438,82.7760009765625,0
2024-03-06 14:00:00+00:00,82.76499938964844,82.76799774169922,82.75599670410156,82.76300048828125,0
2024-03-06 15:00:00+00:00,82.76599884033203,82.7770004272461,82.76100158691406,82.76699829101562,0
2024-03-06 16:00:00+00:00,82.76200103759766,82.77100372314453,82.75900268554688,82.76799774169922,0
2024-03-06 19:00:00+00:00,82.76200103759766,82.76200103759766,82.76200103759766,82.76200103759766,0
2024-03-06 20:00:00+00:00,82.76200103759766,82.76200103759766,82.76200103759766,82.76200103759766,0
2024-03-06 22:00:00+00:00,82.79499816894531,82.79499816894531,82.76000213623047,82.76000213623047,0
2024-03-06 23:00:00+00:00,82.79399871826172,82.79399871826172,82.79399871826172,82.79399871826172,0
2024-03-07 00:00:00+00:00,82.81900024414062,82.81900024414062,82.78099822998047,82.81900024414062,0
2024-03-07 01:00:00+00:00,82.8010025024414,82.81800079345703,82.7979965209961,82.81800079345703,0
2024-03-07 02:00:00+00:00,82.80000305175781,82.81999969482422,82.7959976196289,82.7979965209961,0
2024-03-07 03:00:00+00:00,82.72750091552734,82.82250213623047,82.69499969482422,82.80599975585938,0
2024-03-07 04:00:00+00:00,82.76100158691406,82.79750061035156,82.6989974975586,82.6989974975586,0
2024-03-07 05:00:00+00:00,82.7750015258789,82.79000091552734,82.75700378417969,82.77999877929688,0
2024-03-07 06:00:00+00:00,82.76750183105469,82.78500366210938,82.72750091552734,82.77999877929688,0
2024-03-07 07:00:00+00:00,82.78500366210938,82.7925033569336,82.76750183105469,82.7699966430664,0
